上海虹桥韩国街银亭路宜尚PLUS酒店,¥339起,/hotel/hoteldetail?hotelId=91836978&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A91836978%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海瑞廷西郊S酒店,¥380起,/hotel/hoteldetail?hotelId=60211683&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A60211683%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海浦东新国际博览中心同派酒店,¥321起,/hotel/hoteldetail?hotelId=63667565&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A11%7C%2a%7ChId%3A63667565%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海外滩老码头CitiGO欢阁酒店,¥310起,/hotel/hoteldetail?hotelId=64153350&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A12%7C%2a%7ChId%3A64153350%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海虹桥国展临空园区亚朵S酒店,¥458起,/hotel/hoteldetail?hotelId=94375351&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A13%7C%2a%7ChId%3A94375351%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈睿轩上海嘉定新城酒店,¥303起,/hotel/hoteldetail?hotelId=67760632&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A14%7C%2a%7ChId%3A67760632%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海虹桥国家会展中心同派酒店,¥366起,/hotel/hoteldetail?hotelId=66436465&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A15%7C%2a%7ChId%3A66436465%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海馨乐庭虹桥中心公寓酒店,¥403起,/hotel/hoteldetail?hotelId=10201039&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A16%7C%2a%7ChId%3A10201039%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海虹桥嘉廷酒店,¥339起,/hotel/hoteldetail?hotelId=40201960&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A17%7C%2a%7ChId%3A40201960%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海徐家汇漫心酒店,¥419起,/hotel/hoteldetail?hotelId=90945413&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A18%7C%2a%7ChId%3A90945413%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈東谷酒店(上海安亭地铁站店),¥492起,/hotel/hoteldetail?hotelId=71154540&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A19%7C%2a%7ChId%3A71154540%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
云和夜泊酒店(上海国际旅游度假区店),¥289起,/hotel/hoteldetail?hotelId=92181285&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A92181285%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
麦新格国际酒店(上海国际旅游度假区店周浦地铁站店),¥400起,/hotel/hoteldetail?hotelId=90673449&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A90673449%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
星尚国际青年旅舍(上海宋园路地铁站店),¥66起,/hotel/hoteldetail?hotelId=92419929&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A92419929%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
云和夜泊酒店(上海浦东国际机场店),¥470起,/hotel/hoteldetail?hotelId=93427239&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A93427239%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
宿适轻奢酒店(汉中路地铁站店),¥219起,/hotel/hoteldetail?hotelId=93958860&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A93958860%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
豪枫雅致酒店(上海国际旅游度假区唐镇地铁站店),¥305起,/hotel/hoteldetail?hotelId=92194746&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92194746%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海和平饭店,¥1810起,/hotel/hoteldetail?hotelId=50201348&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A50201348%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海万达瑞华酒店,¥1533起,/hotel/hoteldetail?hotelId=91251309&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A91251309%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
桔子水晶上海国际旅游度假区周浦万达酒店,¥410起,/hotel/hoteldetail?hotelId=92192625&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A92192625%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海邻家露营地,¥1391起,/hotel/hoteldetail?hotelId=92242143&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A92242143%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
全季酒店(上海人民广场福州路店),¥301起,/hotel/hoteldetail?hotelId=93624552&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A93624552%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
麦新格精品酒店(上海外高桥自贸区店),¥204起,/hotel/hoteldetail?hotelId=91246696&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A11%7C%2a%7ChId%3A91246696%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海星河湾酒店,¥616起,/hotel/hoteldetail?hotelId=90022030&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A12%7C%2a%7ChId%3A90022030%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
麦新格精品酒店(上海浦东机场店),¥244起,/hotel/hoteldetail?hotelId=90825524&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A13%7C%2a%7ChId%3A90825524%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
全季酒店(上海人民广场店),¥301起,/hotel/hoteldetail?hotelId=94007843&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A14%7C%2a%7ChId%3A94007843%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
宿适轻奢酒店(上海漕河泾店),¥164起,/hotel/hoteldetail?hotelId=94101222&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A15%7C%2a%7ChId%3A94101222%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
长丘国际青年旅舍(上海虹桥国展中心店),¥60起,/hotel/hoteldetail?hotelId=93440060&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A16%7C%2a%7ChId%3A93440060%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
全季酒店(上海外滩九江路店),¥325起,/hotel/hoteldetail?hotelId=92304739&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A17%7C%2a%7ChId%3A92304739%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
中建瑞贝庭公寓酒店(上海静安店),¥346起,/hotel/hoteldetail?hotelId=93692243&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A18%7C%2a%7ChId%3A93692243%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海虹桥枢纽国展中心亚朵酒店,¥416起,/hotel/hoteldetail?hotelId=92769397&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A3bce5e26-4a3e-4539-a7c4-4107c8e852c3%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A19%7C%2a%7ChId%3A92769397%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
HotelName,HotelPrice,HotelLink
华晶丽呈睿轩上海北外滩酒店,¥309起,/hotel/hoteldetail?hotelId=30201158&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A30201158%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈睿轩上海国际旅游度假区川沙酒店,¥283起,/hotel/hoteldetail?hotelId=10201369&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A10201369%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海徐家汇天钥桥亚朵S酒店,¥475起,/hotel/hoteldetail?hotelId=60370860&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A60370860%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海浦东金桥亚朵酒店,¥390起,/hotel/hoteldetail?hotelId=94350628&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A94350628%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海浦东张江园区张江路亚朵X酒店,¥450起,/hotel/hoteldetail?hotelId=40201057&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A40201057%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈别院·城市琪遇(上海国际旅游度假区秀沿路地铁站店),¥291起,/hotel/hoteldetail?hotelId=92427092&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92427092%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海世博中心亚朵酒店,¥484起,/hotel/hoteldetail?hotelId=63071055&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A63071055%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
和颐酒店(上海虹桥枢纽国家会展中心店),¥255起,/hotel/hoteldetail?hotelId=50201354&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3A7c6fd7bd-42f2-4dc6-b090-2f8a5af9791a%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A50201354%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
