酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
厦门罗约海滨温泉酒店,豪华型,¥555起,340,集美学村/杏林湾/园博苑 | 杏林杏滨路399号,2.0公里，驾车约2.4公里，预计6分钟,6分钟,距园博苑地铁站直线2.0公里，驾车约2.4公里，预计6分钟,89,4.6,1651,4.6,4.5,4.7,4.7,4.0,14:00,12:00,1,1,1,1,1,0,1,1,2019年01月01日,2015年07月01日,0592-6686399,厦门罗约海滨温泉酒店位于杏林杏滨路，近杏林大桥，周边景点有集美学村、园博苑、集美鳌园。这是一家全海景温泉酒店，享有单边走廊迷人景致，全落地窗视野开阔，可观赏一线海景，实现您唯美浪漫的观海梦。酒店豪华气派，闹中求静，拥有多种面积不等的会议室及多功能宴会厅，全面满足各类会议需求，更有浪漫的温泉会所，让您放松身心、体验一次养生的温泉之旅。酒店拥有一支厨艺精湛的烹饪团队，为您提供地道的粤菜、闽菜、西餐海鲜自助和日式料理等美食。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90890065&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A90890065%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A7%7C%2a%7Cpage_size%3A20%7C%2a%7C
瑞颐逸居酒店(厦门高崎国际机场湖里大道店),高档型,¥324起,173,湖里商业区 | 兴隆路29-6号,2.0公里，驾车约2.4公里，预计7分钟,7分钟,距火炬园地铁站直线2.0公里，驾车约2.4公里，预计7分钟,95,4.9,880,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,1,0,0,1,1,null,2020年01月01日,0592-3866666,酒店是瑞颐酒店管理集团旗下智慧型精品酒店。酒店位于湖里区核心商圈，毗邻特区纪念馆、湖里海峡文创园，距离地铁三号线举步之遥，15分钟车程可达高崎国际机场和东渡国际邮轮码头以及厦门火车站，便捷的交通让您更能尽情的探索厦门。酒店拥有173间充满惊喜的客房，除了常规的豪华大床双床房以外，另有家庭房，童趣房，公寓房等多种精致房型，从进入大堂的智能前台入住办理，到每间客房标配的精致品牌备品，智能客控系统，同时便利的自助洗衣服务，精致健身设备和设计独到的室内休闲体验，无不给你精致的居停体验。无论商务出差或是休闲旅行都能在入住酒店体验到贴心和惊喜的服务。智能机器人管家在您有任何需要的时候都会出现在你的身边，竭尽所能。深入挖掘餐饮空间的社交属性，在提供品种多样的丰富早餐同时，更有效的将书吧，交流区以及150平方的多功能会议室深度融合，打造全域无障碍交流环境，使酒店每时每刻都焕发着精彩与活力。同时Virgo威士忌吧将会是您品评享受威士忌亦或是友人聚会的上优之所。酒店提供：1. 精致客房2. 健康早餐3. 智能酒店系统及机器人管家4. 商务中心及多功能会议室5. 自助洗衣房6. 自助健身房,https://hotel.elong.com/hotel/hoteldetail?hotelId=61160705&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A61160705%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A7%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门栖岸风情海景客栈,经济型,¥232起,58,环岛路/黄厝海滨浴场/会展中心 | 滨海街道黄厝社205号,219米，步行约387米，预计6分钟,6分钟,距黄厝海滨直线219米，步行约387米，预计6分钟,95,4.9,976,4.8,4.9,4.8,4.8,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2018年12月01日,2014年08月01日,0592-2190658,1.交通方便，临近公交车总站，旅游线路方便，周边靠近厦门大学，鼓浪屿，湿地公园，观音山水上世界等均可一站直达；2.环境舒适，房间均配有绿色生态植物，各种电器设备齐全，WIFI前天开放； 3.针对自驾游顾客，本酒店配有24小时停车场，快捷方便； 4.周边超市，特产店，餐馆等一应俱全；,https://hotel.elong.com/hotel/hoteldetail?hotelId=92875173&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A92875173%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A7%7C%2a%7Cpage_size%3A20%7C%2a%7C
全季酒店(厦门明发广场店),舒适型,¥408起,91,厦门火车站地区 | 嘉禾路96号,243米，步行约265米，预计4分钟,4分钟,距莲花路口地铁站直线243米，步行约265米，预计4分钟,10,4.9,1026,4.9,4.9,4.9,4.9,4.0,10:00,12:00,1,1,0,0,0,0,0,1,2022年03月29日,2016年11月01日,0592-5329199,全季酒店成立于2010年，隶属华住集团，中国领先的中档酒店品牌。目前已覆盖中国31个省级行政区，开业已超过1100家。从东方智慧中汲取人文精神，从当代生活中提炼价值内涵，全季通过亲朋服务创造优质体验，在东方土地上，让更多人感受东方的自然得体，为4亿中产人群提升旅途生活品质。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92039739&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A92039739%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A7%7C%2a%7Cpage_size%3A20%7C%2a%7C
希岸酒店(厦门机场区政府店),舒适型,¥251起,54,SM城市广场地区 | 枋湖西路138号,2.1公里，驾车约2.8公里，预计6分钟,6分钟,距塘边地铁站直线2.1公里，驾车约2.8公里，预计6分钟,88,4.9,1104,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,0,0,0,0,0,1,null,2017年09月01日,0592-8100555,位于厦门市湖里区枋湖西路，酒店对面是枋湖客运中心及商业中心，，周边有五缘湾湿地公园、厦门高崎机场、湖里高新创业园、湖里区政府、湖里区公安局、湖里区法院、SM城市广场等，地理位置优越，交通便利。公交车直达厦门机场.厦门大学、厦大白城、鼓浪屿厦鼓码头、环岛路、中山路步行街、南普陀。酒店是锦江集团旗下一个定位为时向轻者跨界精品的酒店品牌，以“小幸感，宠你开始”为核心价值主张，为客人创造一个优雅、经典、精致的气质专属空间，倡导一种旅途中的新生活态度，Xana life-- 无论何时，出游何地，选择一个贴心、懂自己的休憩空间。酒店隶属于锦江集团，是一家以时尚轻奢跨界为主题的精品酒店，酒店拥有各式精品客房，房间温馨、浪漫、典雅、时尚、轻奢、设计的诸多元素带给您非凡的感官享受和入住体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92516763&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A92516763%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
旭尔皇酒店(厦门SM城市广场高崎国际机场店),经济型,¥274起,47,SM城市广场地区 | 松柏路108号,231米，步行约329米，预计4分钟,4分钟,距吕厝地铁站直线231米，步行约329米，预计4分钟,91,4.8,1266,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,0,0,0,0,0,1,2019年11月01日,null,0592-5092666,位于厦门市思明区松柏路，地处有城市“绿肺”之称松柏公园旁边，毗邻吕厝天虹商场与牡丹大酒楼，临近厦门SM城市广场、明发商业广场、文化艺术中心、体育中心，地铁一号线吕厝站，公交车8路、32路、46路，交通便利。酒店距厦门鼓浪屿邮轮码头约15分钟车程；距厦门中山路步行街、距厦门大学约20分钟车程；距梧村汽车站约5分钟车程；距厦门国际会展中心约15分钟车程。酒店拥有免费停车场及各种客房。房间布置高雅时尚，配置高档床品；酒店客房的床垫是采用品牌棕垫，软硬度比较偏硬适中（如偏好睡软的床垫请慎选）但长期使用有利身体健康。中央空调；全自动智能马桶；触摸感应镜灯，给您带来舒适、便利的体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=01401220&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A1401220%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
旺辉酒店(厦门火车站万象城店),舒适型,¥219起,152,厦门火车站地区 | 梧村商圈湖滨东路6号华龙大厦,584米，步行约703米，预计11分钟,11分钟,距湖滨东路地铁站直线584米，步行约703米，预计11分钟,88,4.8,1120,4.7,4.8,4.7,4.8,4.0,14:00,13:00,1,1,1,0,0,0,1,1,2016年05月01日,2011年05月01日,0592-3182888,酒店位于厦门火车站正对面，步行2分钟到达火车站、梧村汽车站；到达鼓浪屿、中山路、台湾小吃一条街，厦大，南普陀交通便捷，步行可抵达罗宾森购物广场、万象城及娱乐场所。酒店公交有61个公交线路，方便您出游与商务出行。周边有万象城、世贸广场、巴黎春天百货、罗宾森广场、明发商业广场、新世界百货、沃尔玛、家乐福、乐购等多家大型购物商场；并有对外图书交流中心、金逸电影城、酒吧一条街、美食广场等多家休闲娱乐场所；周边美食有小眼镜海鲜大排档、李老六火锅、姜母鸭、土笋冻等等，交通便捷，周边配套齐全，环境优越，是您旅游、商务之选。且酒店被评为首届思明梧村商圈十佳店长“客户满意银牌商家” 、2012海西汽车博览会合作伙伴与2013年厦门市思明区“文明单位”。我们坚持向客户提供人性化服务，创造宾至如归的服务事业，我们的客户观：让客户满意，我们“用心说话，用爱做事，真诚服务”！,https://hotel.elong.com/hotel/hoteldetail?hotelId=01401331&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A1401331%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
半山伴宿(厦门大学店),舒适型,¥407起,45,厦门大学地区 | 曾厝垵后厝120号,821米，步行约1.1公里，预计14分钟,14分钟,距厦门大学海韵校区直线821米，步行约1.1公里，预计14分钟,94,4.9,702,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,0,0,1,1,1,1,2019年12月01日,2019年08月01日,18030218990,半山伴宿位于厦门美丽的环岛路边厦大学生公寓旁，民宿碧山邻海，环境怡人，约8分钟脚程即到海边，地理位置优越，毗邻多个厦门必游之地及网红打卡景点，如厦门大学、胡里山炮台、曾厝垵、南普陀寺、植物园、芙蓉隧道、中山路等等，门口皆有多条公交车路线直达。民宿整体装修风格充满ins风，且拥有多种不同北欧设计风主题的房型，随手一拍都是大片！落地窗前，巨幕投影屏在眼前，诗和远方在面前，你在半山我在伴你。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90919129&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A90919129%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
青年阳光S酒店(厦门SM广场松柏店),舒适型,¥281起,120,SM城市广场地区 | 体育路111号,682米，步行约950米，预计14分钟,14分钟,距厦门市仙岳医院直线682米，步行约950米，预计14分钟,91,4.9,1476,4.8,4.8,4.9,4.8,4.0,14:00,12:00,1,1,1,1,0,0,0,1,2019年09月01日,2019年05月01日,0592-8065777,还在被酒店繁琐的入住手续搞的焦头烂额吗？还在为苦苦找寻不到停车位而烦恼心塞吗？还在幻想着住宿停车一键轻松实现吗？duang〜duang青年阳光连锁酒店松柏汽车酒店来了作为福建省真正意义上的汽车酒店仿佛是加了特效住房退房手续30秒内快捷搞定大堂水果无限量供应每天早上享受闽南特色自助早餐卸妆套装一次性解决外出的美眉丝袜破了也不担心，找前台领取～洗衣液、洗衣机、晾衣处一次性解决您的换洗衣物～更有提供婴儿车、轮椅借用房间独特的飘柔洗发水及强身沐浴露让你更放心使用～反正：只有你想不到！没有我们做不到～～豪华汽车大房，双床房共有122间，任君挑选噢～so easy麻麻再也不担心我们没有停车位了我们在体育路111号恭候您大＂驾＂光临,https://hotel.elong.com/hotel/hoteldetail?hotelId=01401049&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A1401049%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门三个厦大人HiAir民宿,舒适型,¥307起,49,曾厝垵地区 | 曾厝垵557号,509米，步行约777米，预计12分钟,12分钟,距曾厝垵直线509米，步行约777米，预计12分钟,94,4.8,917,4.8,4.9,4.8,4.8,4.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2018年12月01日,18106970586,厦门三个厦大人HiAir民宿是厦门三个厦大人民宿品牌系列之一，坐落在厦门依山伴海的海边渔村——曾厝垵，闹中取静的地段，步行约1分钟到达小吃街，约7分钟到达海边，，有直达公交可到厦鼓码头、中山路、植物园、沙坡尾等，出行便利。小清新ins风的独栋民宿，以白色为基础色调，加入了饱和度低的薄荷绿颜色，氛围干净舒服，门口的定制网红旅行车，仙人掌绿植，薄荷绿色的方格推门，别致的旋转楼梯，都是拍照的好素材，随手一拍都是大片feel。每个房型的设计和风格各有千秋，洗漱用品齐全，所有房间配有超清HiFi投影仪，在hiair，期待和您一起享受生活美学一起放慢生活的脚步。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93593826&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A93593826%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
麗枫酒店(厦门机场五缘湾地铁站店),高档型,¥465起,131,五缘湾地区 | 钟岭路6号,1.8公里，驾车约4.3公里，预计11分钟,11分钟,距五缘湾直线1.8公里，驾车约4.3公里，预计11分钟,95,4.9,1228,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,1,1,0,1,1,null,2020年12月01日,0592-5596789,麗枫酒店(厦门机场五缘湾地铁站店）位于厦门市湖里区钟岭路6号（湖里高新技术园区银鹭大厦），毗邻五缘湾湿地公园风景区。酒店距地铁二号线五缘湾地铁站约500米的路程，交通四通八达。麗枫酒店(厦门机场五缘湾地铁站店）是全球第二大酒店集团“锦江酒店（中国区）”倾力打造的以天然香气为特色的舒适体验型连锁酒店，酒店拥有各类客房一百余间，均配备了慕思床垫、空气净化系统、房间智能化控制系统、超大屏幕液晶数字电视、迷你吧冰箱、特制香氛洗护用品、无线wifi畅游。酒店网红观海露天泳池、超八百平多功能健身房，是您商旅、休闲的好去处。,https://hotel.elong.com/hotel/hoteldetail?hotelId=64993746&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A64993746%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
艾思顿酒店(厦门机场自贸区店),舒适型,¥354起,80,湖里商业区 | 华昌路189号三航大厦,998米，步行约1.4公里，预计19分钟,19分钟,距湖里大道直线998米，步行约1.4公里，预计19分钟,94,4.8,1043,4.8,4.8,4.8,4.8,4.0,14:00,14:00,1,1,1,1,0,0,1,1,2021年03月01日,null,0592-5696888,酒店位于湖里区黄金商务地段-华昌路，毗邻湖里自贸区、象屿保税区、免税商场，交通极为便利，距鼓浪屿登船点-东渡邮轮码头约十分钟车程，距枋湖长途客运站约6公里，离环岛路、厦门大学、南普陀寺打车十余分钟路程，是商旅人士的优选。酒店无线WiFi全面覆盖，拥有各类精心打造的豪华客房，配备羊毛地毯、中央空调、实木家具、豪华席梦思床垫等硬件设施，让您切实享受到平价的星级待遇。另设有自助早餐厅，为您提供营养健康、丰盛美味的特色美食。航成精品酒店秉承“轻松商旅、优悦居停”的优质热情专业的服务理念，为您提供一个干净舒适安全健康的住宿环境，创造物超所值的客户体验，真正超越您的预期！,https://hotel.elong.com/hotel/hoteldetail?hotelId=31401041&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A31401041%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门万璟轩酒店,舒适型,¥229起,35,厦门北站地区 | 万科广场珩山一里150号,649米，步行约1.0公里，预计14分钟,14分钟,距厦门北站地铁站直线649米，步行约1.0公里，预计14分钟,92,4.8,1609,4.7,4.8,4.8,4.7,4.0,14:00,12:00,1,1,0,0,0,0,0,1,null,2018年07月01日,0592-6383772,厦门万璟轩酒店位于厦门北站万科广场150号，于2018年5月装修完成，总共35间客房，风格为新中式，各个房间均配备20M宽带以及标准的酒店用品以满足客户需求。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93366331&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A93366331%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门金后酒店,舒适型,¥249起,136,中山路地区 | 中山路444号,436米，步行约550米，预计8分钟,8分钟,距中山公园地铁站直线436米，步行约550米，预计8分钟,89,4.5,2600,4.5,4.6,4.6,4.6,4.0,14:00,12:00,1,1,1,0,0,0,0,1,2015年01月01日,null,0592-3996666,厦门金后酒店矗立于厦门市中心——中山路上，离轮渡站约800米，毗邻鼓浪屿、万石植物园、南普陀寺等景区。设施豪华考究的各式客房内，有中央空调系统、卫星转播电视、IC卡电子门锁、国际/国内直拨电话、宽带上网、保险箱、迷你酒吧等设施；房内采光也很好。花园房的外面有一个独立的花园，能和家人聊天、晒太阳；孩子也能尽情玩耍。商务中心是各类会议举办的理想场所；工作之余，你还能享受美容美发、提供餐服务、航空票务等服务。如果你想出游，还能帮忙安排行程，带上老人、小孩儿出游轻松又惬意。,https://hotel.elong.com/hotel/hoteldetail?hotelId=31401033&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A31401033%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门鹭江·佲家酒店,豪华型,¥595起,115,厦门大学地区 | 龙虎山路382号,816米，步行约1.1公里，预计14分钟,14分钟,距曾厝垵直线816米，步行约1.1公里，预计14分钟,93,4.7,1355,4.6,4.7,4.7,4.7,4.0,14:00,12:00,1,1,1,1,1,0,1,1,2018年05月01日,2017年07月01日,0592-2199099,厦门鹭江·佲家酒店栖身于风光旖旎的环岛路，依山面海，毗邻珍珠湾天然海滨浴场和文化创意休闲渔村——曾厝垵，远离城市喧嚣，独处静谧。往来东渡码头、厦门大学、南曾陀、万石植物园、国际会议中心等均在10分钟之内即可完成，交通便利。热带园林式休闲酒店，拥有350平米的户外露天专业泳池和专门儿童泳池，典雅、轻奢、时尚已成为新晋的网红打卡地，酒店内的璞艺西餐厅也是曾厝垵热门的海陆自助餐厅。酒店配备专业级会议室，专业健身房和专业健身教练，超大容量停车场，为您的旅程增加健康与活力。创意十足的个性化客房拥有各种阳台及超大露台为每一位旅客打造个性化的贴身服务，客房配备BOSE音响、胶囊咖啡机、特色茶具、自助洗衣房等，让您在室内便可感受舒适愉悦的度假生活。荣登酒店时尚榜2018中国TOP 30亲子酒店，喜获旅行口碑榜2018新开业酒店奖，得到98%用户推荐。超值性价比，住房率及均价皆名列厦门酒店前列。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92418934&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A92418934%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门香格里拉,豪华型,¥1103起,325,环岛路/黄厝海滨浴场/会展中心 | 台东路168号观音山国际商务中心,0.4公里，步行约0.8公里，预计12分钟,12分钟,距观音山直线0.4公里，步行约0.8公里，预计12分钟,92,4.8,1846,4.7,4.7,4.8,4.8,4.0,14:00,12:00,1,1,1,1,1,1,1,1,2017年12月01日,2017年08月01日,0592-8385888,厦门香格里拉位于厦门东部新兴的国际商务中心，坐拥环岛路一线海景。地理位置优越，紧邻厦门国际会展中心、JFC品尚购物中心、闽南大戏院。仅需5分钟可漫步至沙滩以及大型梦幻游乐场。车程约5分钟可至万达商圈。交通便利，沿着风光旖旎的环岛路，可便捷前往曾厝垵、厦门大学、南普陀及鼓浪屿等著名景点。您亦可选择绿色出行，距离地铁2号线观音山站步行约5分钟。酒店的每一间客房和套房都时刻铭记为宾客打造现代舒适的下榻空间，透过全景玻璃窗您可欣赏到迷人壮阔的海景或现代时尚的城市景观。酒店为美食爱好者提供了体验国际美食和本地餐饮文化的众多选择。 全日自助餐厅-馨石堂绿意盎然的用餐环境，让您仿佛置身于花园餐厅中。城中网红中餐厅-福港轩，老厦门港的怀旧风情混搭现代的集装箱码头设计，碰撞出时尚复古的情怀，地道厦门特色美食定能让您流连忘返。除此之外，拥有开阔海景的大堂酒廊，及高端典雅的豪华阁行政酒廊，是您商务会谈、社交聚会的上佳选择。超过3000平方米的NX健身水疗中心是放松身心的上佳去处。健身房配备25款共40台健身器材，其中包括业界领先的力健SYNRGY 360综合训练器材；而25米室内恒温泳池为宾客带来全年无休的水下健身体验。同时，宾客还可享受水力按摩池、桑拿或蒸汽浴室带来的活力焕发，或水疗中心专业按摩师带来全身心放松。若您是带着萌娃出游，那位于厦门香格里拉LG层的NX儿童俱乐部必是属于孩子们的欢乐海洋。总面积达530平方米的室内儿童俱乐部，配备多款儿童游乐设施及电影放映室、手工坊、小小餐厅等，无论是蹒跚学步的幼儿，还是想象力丰富的小大人，都能在这里发现无穷乐趣。还将定期举办各类主题派对及亲子教学课，寓教于乐，陪伴孩子快乐成长。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92490697&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A11%7C%2a%7ChId%3A92490697%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
鼓浪屿复境酒店,舒适型,¥435起,21,鼓浪屿地区 | 福州路125号,242米，步行约479米，预计6分钟,6分钟,距厦门海底世界直线242米，步行约479米，预计6分钟,97,4.8,694,4.8,4.9,4.9,4.8,4.0,14:00,12:00,1,1,0,0,0,0,1,0,2020年05月01日,2020年01月01日,0592-2069125,鼓浪屿复境酒店位于世界文化遗产——鼓浪屿，毗邻鼓浪屿繁荣港口三丘田码头，步行仅数百米之距，不远处即是五大景点之一的风琴博物馆，隐于闹市，安于码头。  酒店原有建筑是一处混凝土结构的民宅，设计师在保留了原始风格的同时，增加现下流行的轻奢极简风格，不失时尚气息，尊重共性与差异，也融合传统与现代，空间设计上，不只是做旧，也有融入现代的元素，复古不是一种固定风格，而是一种态度，也就是追溯本源和自我诚实。  除了运用复古的色系和棉麻面料之外，也使用金属线管和现代风格的家具等，融合新与旧之间的差异，找到它们可以共存的可能性。在色调上，使用了低饱和度的莫兰蒂色系，以复古撞色为基调，尽量让空间沉稳下来，在结构上使用圆角，处事态度为主，宛转周折，少去棱角，也是一种顾及到他人的表现。  平易近人的价格搭配创意元素点缀，打造您出门旅游的全新体验除了便捷的交通，更让您在尽情感受鼓浪屿文化与特色美食之余能够姿意地享受百分百的自在与放松，享受一片静谧的小岛生活。,https://hotel.elong.com/hotel/hoteldetail?hotelId=01401754&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A9619b2e8-4eed-48c4-b392-ad7e946bc4fd%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A12%7C%2a%7ChId%3A1401754%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A8%7C%2a%7Cpage_size%3A20%7C%2a%7C
