酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
大理银盛主题酒店,经济型,¥218起,52,大理火车站 | 下关镇苍山东路148-158号,666米，步行约1.0公里，预计15分钟,15分钟,距大理站直线666米，步行约1.0公里，预计15分钟,86,4.8,1408,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,0,0,0,0,0,1,2017年12月01日,2017年09月01日,0872-3078858,大理银盛主题酒店地理位置优越，交通便利。设有各式房间，干净卫生，通风透光，优质的服务，简约的设计风格，是繁忙的商务客人及休闲旅游客人温暖舒适的理想家园。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90739550&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A90739550%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A2%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理古城畔山沐雲客栈,舒适型,¥410起,18,大理古城 | 古城南门新村134号,851米，步行约1.0公里，预计14分钟,14分钟,距大理古城直线851米，步行约1.0公里，预计14分钟,100,4.9,3102,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2018年07月01日,2017年07月01日,18187219811,大理古城畔山沐雲客栈位于大理古城南门新村，一塔公园附近，2016年新建白族特色建筑，背靠苍山，面向洱海，周边有天龙八部影视城，苍山大索道，三塔公园等旅游景点，交通便利，院内可停车，全天监控，24小时热水，高清网络电视，房间wifi，公共wifi，可以提供接机，接站服务（连住两晚可以免费接大理站一次，连三晚可以免费接大理机场一次）。,https://hotel.elong.com/hotel/hoteldetail?hotelId=91750973&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A91750973%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A2%7C%2a%7Cpage_size%3A20%7C%2a%7C
花筑奢·大理古城麓椿花园酒店,豪华型,¥1138起,78,苍山风景区 | 大理镇弘圣路5号,641米，步行约1.3公里，预计20分钟,20分钟,距大理学院古城校区直线641米，步行约1.3公里，预计20分钟,96,4.9,1540,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,1,0,1,1,1,2019年12月01日,2019年07月01日,0872-2660666,花筑奢·大理古城麓椿花园酒店位于山水间艺术家园旁，临近古城、三月街、影视城，出游便利。酒店带来全新的高端国际化入住体验，共有宽敞、豪华、舒适的客房及套房七十余间。所有房间都配有完善的客用设施，满足客人的商务与休闲需求。格外宽敞、豪华的空间里配备了定制的工作区、高速互联网及无线网络连接。酒店汇集台湾美食，保证让您赞不绝口。在花园酒店不管您是想在室内游泳池畅游，还是在采用世界知名品牌健身设备的健身房里操练一番，又或是让小孩在专属儿童乐园玩乐让你轻松无忧的进行您的计划，都可体验到大理麓椿花园酒店店无微不至的服务。为了您的舒适方便，酒店公共区域皆有无线网络覆盖。酒店还拥有会议空间，先进的会议设施，无线网络覆盖，满足客人商务、旅游、会议活动的全方位需求。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93397531&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A93397531%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A2%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理蓝栖客栈,高档型,¥803起,15,大理古城 | 大理镇南门新村36号,945米，步行约1.1公里，预计17分钟,17分钟,距天龙八部影视城直线945米，步行约1.1公里，预计17分钟,98,5.0,584,5.0,5.0,5.0,5.0,4.0,14:00,14:00,1,1,1,1,1,1,1,1,null,2019年04月01日,0872-2684888,蓝栖客栈位于大理古城一塔公园旁，背靠苍山面向洱海，周边靠近古城，影视城！可远眺洱海，近观苍山，客栈由一线设计师亲手打造，更加入了主人对大理的情怀亲自参与其中，客栈以白族建筑风格为主，又不失现代设施的舒适。所有设施都按照高端配置来设计的.坐在客栈沏一壶普洱看看苍山洱海，享受大理漫步的时光，静享苍山不墨千秋画，洱海无弦万古琴！风花雪月二三事，不知人间已千年！在大理让您的生活慢下来，用心来倾听大理的风花雪月！住进蓝栖客栈，仿佛住进了蓝天白云的怀抱里，在这里让您体会真正的诗和远方！,https://hotel.elong.com/hotel/hoteldetail?hotelId=94096233&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A94096233%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理舍予·隐秘花园客栈,高档型,¥576起,21,大理古城 | 南门村委会南门新村66号,1.2公里，驾车约2.2公里，预计6分钟,6分钟,距大理学院古城校区直线1.2公里，驾车约2.2公里，预计6分钟,99,5.0,654,5.0,5.0,5.0,5.0,4.0,10:00,14:00,1,1,1,1,0,1,1,1,null,2020年07月01日,15388779990,大理舍予隐秘花园客栈位于大理古城南门，苍山脚下，洱海之颠，古城边缘，与淳朴的白族人家为邻，出门即可感受大理白族的风土人情，民宿位置闹中取静，风景无垠，距离大理古城直线距离约380米，步行8分钟左右。仅客栈花园就占地300㎡，房间为落地大窗，达到阳光充足、空气清新；民宿配置有空调、24小时热水、24小时独立wifi、洗漱用品、瓶装山泉水、所有客房采用科勒卫浴、高端订制床垫，一应俱全，方便舒适。这里有宽敞明亮的早餐厅，设有品酒区、品茶区、下午茶区、院景区，楼顶可以观日出、赏日落、能俯视苍山十九峰十八溪、洱海海域全景、大理古城全景等一切景观。无论是一啜清茶，一盏红酒，都能给您一个悠闲的美好度假！,https://hotel.elong.com/hotel/hoteldetail?hotelId=63519188&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A63519188%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
久栖·大理恋苍洱精品客栈,舒适型,¥162起,18,大理古城 | 大理镇214国道南门新村,892米，步行约1.2公里，预计16分钟,16分钟,距大理古城直线892米，步行约1.2公里，预计16分钟,98,4.9,585,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,0,0,0,1,0,1,2018年11月01日,2015年09月01日,18724984891,久栖·大理恋苍洱精品客栈位于大理市 214国道南门新村，近玉局路，四周旅游资源丰富，地段优越，出行交通便利。客栈环境雅致清新，拥有各式房间，宽敞明亮，内部环境干净整洁，房内24小时热水、独立淋浴间、液晶电视机等配套设施一应俱全，便捷舒适。这里服务态度好，且房价经济实惠，让你出门在外也能感受到家的温馨。,https://hotel.elong.com/hotel/hoteldetail?hotelId=91231168&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A91231168%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理巷语曼屋,舒适型,¥782起,20,大理古城 | 大理古城人民路531号,881米，步行约917米，预计12分钟,12分钟,距洋人街直线881米，步行约917米，预计12分钟,98,4.9,839,4.9,5.0,4.9,4.9,4.0,14:00,12:00,1,1,0,0,0,1,0,1,2018年10月01日,2016年01月01日,15393958640,大理巷语曼屋位于大理古城洱海门步行街人民路附近，可漫逛古城创意小店，品大理特色小吃。       客栈有有别具特色的乡村风，拥有多种房型客房，能满足不同客人的出行需求；客栈装修也是力图打造一个家的氛围：房间墙面采用芬兰进口芬琳环保漆； 房间地板纯实木打造，表面选用德国欧诗木木蜡油，安全无味，保留木质自然本色：床垫选用金可儿乳胶床垫，被子为95%的超大鹅绒被，床品为埃及棉床品，让您虽身在 旅途，却依然能感受到家的温馨舒适； 卫生间干湿分离，选用科勒，汉斯格雅卫浴，让您放松身心的同时为您带来不一样的洗 浴心情。      院落内，种植各种草坪绿植，多处水景，让您尽享古城生活的悠闲和舒适；.休闲区域，休闲之所，品茶聊天。      馨享受，慢生活。让您虽身在异乡却能感受家般的温暖，不为奔波，只为经历，相遇大理，巷语曼屋！      期待与您的相遇！,https://hotel.elong.com/hotel/hoteldetail?hotelId=91331109&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A91331109%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理M设计师·东墨精品海景酒店,豪华型,¥1078起,12,洱海挖色小普陀风景区 | 挖色镇挖色村888-1号,657米，步行约775米，预计11分钟,11分钟,距挖色镇人民政府直线657米，步行约775米，预计11分钟,95,4.9,565,4.8,4.9,4.9,4.9,4.0,14:00,12:30,1,1,0,0,1,0,0,1,2020年07月01日,2018年09月01日,13811110251,大理M设计师·东墨精品海景酒店位于大理挖色镇小普陀景区，总占地面积约1500平方米，由多名时尚设计师和空间环境设计师精心设计，是融合酒店、餐饮为一体的度假目的，为休闲度假、商务客人营造出轻松、感性而亲密的尊贵体验，距双廊约13公里，离小普陀风景区约数分钟车程。酒店拥有十五间宽敞的海景客房和套房，可以满足不同客人的需求，客房以独特的设计理念，宽敞豪华的内部装饰，中央空调，无线网，网络电视，电话，播放器，加湿器等带来尊贵的入住体验，配有24小时贴身管家服务。楼顶配有露天无边界泳池，带你各种凹造型。独有的婚纱摄影圣地，百米小海滩，让你真正与海零距离。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93694245&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A93694245%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理Cube Sugar方糖酒店,舒适型,¥732起,25,大理古城 | 古城绿玉路215号,919米，步行约1.2公里，预计19分钟,19分钟,距大理古城客运站(公交站)直线919米，步行约1.2公里，预计19分钟,95,4.8,699,4.8,4.9,4.8,4.8,4.0,14:00,12:00,1,1,0,1,0,1,0,1,2019年01月01日,2018年09月01日,15393965653,大理Cube Sugar方糖酒店位于大理古城绿玉路下段，周围餐饮、娱乐等生活配套齐全，出行便利。酒店倾力一年打造新一代轻奢网红ins风，二十余间豪华客房均配备了床品，高端洗漱用品，多数客房配备了雅马哈无损音响、浴缸、双层隔音防晒玻璃等，给您带来安逸舒适的睡眠环境。大堂吧紧邻绿玉路，春冬两季可在这里欣赏到大理美丽的樱花。楼顶营造的天空之境是绝佳的婚纱拍摄地，苍山洱海360度无死角渲染着大理的蓝天白云，多名新人到此取景。定制5台大型集装箱改造的咖啡厅、健身房、茶室、书吧，让您在恬静的午后肆意挥洒着大理的时光。夜晚您还可以到酒店负一层的清吧，调酒师为您定制12款特调鸡尾酒，威士忌、龙舌兰、伏特加、朗姆等，伴随星光 蜡烛与暖火，享受奢靡的大理之夜。酒店同时配备下沉式影院、无损音乐试听、跑车租赁等诸多服务，为您的旅行添砖加瓦，为您的入住体验镀金，方糖百分百的努力，只为了服务最美的你。,https://hotel.elong.com/hotel/hoteldetail?hotelId=02505102&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A2505102%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理全年·忆闲居客栈,高档型,¥402起,12,大理古城 | 古城文献路192-2号,0.9公里，步行约1.2公里，预计18分钟,18分钟,距大理古城客运服务站直线0.9公里，步行约1.2公里，预计18分钟,98,4.9,207,4.9,5.0,4.9,4.9,4.0,14:00,14:00,1,1,1,0,0,1,0,1,2018年05月01日,2018年02月01日,0872-2664777,客栈位于世界历史文化名城，大理古城南城门旁文献路，背靠苍山，面朝洱海，距古城墙百米之遥，徒步可入大理古城。客栈由名师精心设计改建而成，依山而造，移步换景。院内栈道别致、花香草绿，花中有房、房中有花，画中有房、房中有画；客房布置简约而不失奢华，古朴中又透露着现代的经典，有家的温馨与惬意。坐在静静的院子里晒着太阳、聊着天，一半儿清茶一半儿酒，真正让你感受“远看洱海耳听风，是谁停留又远走。一阵花雨迟疑后，纷纷落满点苍山”的意境。生活有诗和远方，忆闲居将见证你欢笑的时光，并陪着你一路欢歌前行！,https://hotel.elong.com/hotel/hoteldetail?hotelId=92970313&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A92970313%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理冬生夏·设计师民宿,高档型,¥693起,26,大理古城 | 大理镇卖花村2号路17号,566米，步行约817米，预计12分钟,12分钟,距大理古城客运站(公交站)直线566米，步行约817米，预计12分钟,98,4.9,780,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2019年02月01日,18869875228,大理冬生夏·设计师民宿座落于古城南门下段卖花村，东邻洱海，西面苍山。自客栈出发至古城南门步行约10分钟，到环海西路车行约15分钟，到苍山景区车行约20分钟。客栈设计理念还原了原建筑的纯粹美感，裸露的砖墙、电线水管等，用青砖和木头融合，完全打破想象力的设计感。粗犷中却带精致的美感。一种复古的情怀做旧。客栈意为踏遍千山万水，却心中归属为一处。希望客人能在这里寻找到意外的惊喜。客栈风格有明显的小众风格，同时结合本土气息。客房明亮舒适，装修独特别具一格。房内配有mini bar、欢迎水果和小食、无线wifi、日式茶具、香薰体验、TOTO卫浴、空调，洗漱用品为日本进口玉肌。　　此外，客栈可提供晚餐预定，还有接送机服务、自行车电动车租借服务（详情请咨询商家）。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93686606&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A93686606%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理洱海公园希尔顿欢朋酒店,高档型,¥937起,126,大理火车站 | 经济开发区云岭大道15号,400米，步行约816米，预计12分钟,12分钟,距大理站直线400米，步行约816米，预计12分钟,95,4.8,1964,4.8,4.8,4.9,4.8,4.0,14:00,12:00,1,1,1,1,0,1,1,1,null,2020年08月01日,0872-8886666,大理希尔顿欢朋酒店位于“风花雪月”之地大理市，毗邻大理站和大理汽车客运站；酒店地处云岭大道和苍山路交叉口，是大理市的核心商业区，附近商圈配套成熟，且毗邻洱海公园。酒店设有各式温馨舒适客房一百余间，独具希尔顿欢朋特色的“HUB”大堂，集聚会、休闲及商务功能于一体。多间舒适客房使用美国“Hampton Bed”标准的舒达双专利床垫和生态认证床上用品，并采用希尔顿专用“Peter Thomas Roth”卫浴用品。酒店餐厅为宾客提供健康、格调、欢愉的用餐环境，早餐菜品108个品种，开放式厨房，简约现代的环境 、新鲜营养的热早餐、种类丰富的蔬果饮品为您提供高品质的健康饮食体验，为繁忙的旅途增添一份欢愉和安心。酒店集健康格调的欢朋餐厅，健身房，洗衣房，可容纳200人的精英会议室和恰到好处的知己服务，使客人享受到高品质的快乐入住体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=42505002&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A42505002%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理你的时光客栈,舒适型,¥506起,37,大理镇东门村组,1.1公里，驾车约1.3公里，预计1分钟,1分钟,距洋人街直线1.1公里，驾车约1.3公里，预计1分钟,99,5.0,672,5.0,5.0,5.0,5.0,4.0,00:00,12:30,1,1,0,0,0,1,0,1,null,2019年07月01日,18313032818,大理你的时光客栈座落于大理古城，客房宽敞明亮，装修别致清新，二三楼俯瞰店内花开花落、仰观天上云卷云舒，何等惬意。,https://hotel.elong.com/hotel/hoteldetail?hotelId=60116158&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A60116158%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理璞栖·苍月琼楼海景酒店,高档型,¥980起,16,大理双廊风景区 | 大建旁村口本主庙沿环海路往挖色方向前行400米,255米，步行约255米，预计4分钟,4分钟,距大建旁村直线255米，步行约255米，预计4分钟,97,4.9,975,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2019年07月01日,2019年01月01日,13308723321,酒店，经典的大型白族庭院设计，超宽的100平方私人休闲海景区亲水，200平方公里的洱海海景展示。面朝大海，可观日出日落，苍山四季风光。在这里来一段避世的假期，在这里，可以享受一种简单的生活。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90284688&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A90284688%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理小猫客栈,经济型,¥516起,15,大理古城 | 双鹤路l旅游客运站附近,0.2公里，步行约0.3公里，预计4分钟,4分钟,距大理古城客运服务站直线0.2公里，步行约0.3公里，预计4分钟,38,5.0,915,5.0,5.0,5.0,5.0,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2021年10月01日,2013年07月01日,18287225685,大理小猫客栈位于南门，毗邻文献路和双鹤路，附近是大理古城旅游客运站。交通便利，环境幽雅。大理小猫客栈是大理白族传统的民居庭院式客栈，大理传统白族民居建筑风格和现代时尚元素的融和。客栈拥有各类客房，可供不同的客人选择入住。客房内现代化设施设备齐全，不仅为商务旅客提供了工作便利，同时为游客们提供了良好的上网环境。在客栈的庭院天井等公共休闲区，您可和各地的游客们一起品茗聊天，了解大理的风土人情和各地的旅途经历，这里是您在大理休闲度假和出行旅游的理想选择！,https://hotel.elong.com/hotel/hoteldetail?hotelId=02505298&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A11%7C%2a%7ChId%3A2505298%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理听花岛海景花园美宿,豪华型,¥4913起,22,大理双廊风景区 | 双廊镇双廊街279-1号,224米，步行约326米，预计5分钟,5分钟,距玉玑岛直线224米，步行约326米，预计5分钟,99,5.0,1056,5.0,5.0,5.0,5.0,4.0,14:00,12:00,1,1,1,1,1,1,1,1,null,2020年10月01日,19184108836,听花堂的系列品牌：海岛浪漫品牌“听花岛”，与倡导诗意生活的“听花堂”形成错位立体发展。听花岛位于双廊主街，与洱海亲密接触，出行，看美景都不误。听花岛致力于提供高端花园美宿的新理念打造极尽高科技的住宿体验客栈，房间配有智能马桶，全智能语音设备。,https://hotel.elong.com/hotel/hoteldetail?hotelId=64109332&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A12%7C%2a%7ChId%3A64109332%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理维纳斯主题客栈,经济型,¥334起,18,大理古城 | 大理镇南门村委会10组,246米，步行约283米，预计4分钟,4分钟,距大理古城客运站(公交站)直线246米，步行约283米，预计4分钟,98,5.0,565,4.9,5.0,5.0,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2020年05月01日,2020年01月01日,18313167229,大理维纳斯主题客栈坐落在大理古城南门外，毗邻旅游汽车客运站，前往大理古城（南门）约10分钟。背靠苍山，面对洱海，交通便利是您旅游、度假的理想栖息地。客栈由知名设计师精心设计，让你感受无处不在的浪漫。1000平方左右的公共区域坐拥古城风景远看苍山，近看田园风景，客栈精心设计打造了具有民族地域特色的各类型住宿风格，满足不同旅客住宿需求；在服务上更是保持了一贯的以宾客满意度为经营目标的宗旨，为旅客提供入住、离店免查房、免押金、液晶电视；房间还提供有免费的茶饮、这里客栈将全程提供优质更细致的服务，让每位旅客都有宾至如归感觉，维纳斯欢迎您的到来，您的满意，是客栈努力前行的方向。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92289584&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A13%7C%2a%7ChId%3A92289584%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理山里·生活美学设计师美宿,经济型,¥244起,19,苍山风景区 | 大理古城南五里桥村九龙北路25号,337米，步行约561米，预计7分钟,7分钟,距文献楼直线337米，步行约561米，预计7分钟,99,4.9,781,4.9,5.0,5.0,4.9,4.0,14:00,12:00,1,1,0,0,1,0,0,1,2018年06月01日,2018年01月01日,17787226080,大理山里·生活美学设计师美宿位于云南省大理白族自治州大理市214国道旁，最美别墅区（山水间隔壁），背靠苍山、面临洱海，可将《风、花、雪、月》四景尽收眼底，民宿内有大型停车场，天龙八部影视城，三塔、苍山、张家花园、清真美食一条街、三月街、大理大学皆在附近，与大理古城南门文献楼网红打卡点仅隔一条马路，交通便利，超市、银行、饭店尽在咫尺之间。民宿拥有20间客房，每间都各俱特色，院子里还配有小型的网红泳池，种植的各种植物，民宿提倡自然健康的生活方式，留有40%的公共空间，让您真正回归慢节奏的生活，在这里您可以放下在大城市的奢华，感受回归自然的淳朴。苍山洱海旁，我就在你身边，雪月风花，这里就是您的第二个家。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92954005&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A14%7C%2a%7ChId%3A92954005%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理海上白宫·诗莉莉半岛酒店,高档型,¥1930起,36,大理双廊风景区 | 双廊镇大丽高速路口旁484号,710米，步行约845米，预计13分钟,13分钟,距大理双廊碎片·吾乡海景度假公馆直线710米，步行约845米，预计13分钟,94,4.9,904,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2019年11月01日,2015年07月01日,17787220847,酒店位于大理白族自治州洱海东北岸苍洱风光——双廊古镇。双廊古镇是青铜文化、洱海文明与大理文明的发祥地之一。酒店有三个主建筑区域构成，外围建筑临海而建，一览苍海风光。酒店除客房外，还配有休闲区，餐厅，会议室等功能区，能够满足您无论休假度假，还是商务的需求。来到这里感受唯美无二的度假空间，体验大理风土人情，品尝大理白族特色美食，享受下午茶时光、在星光漫天的夜空下玫瑰浴、抖音网红打卡点打卡。诗莉莉成立于2013年，是一个“深度情感化体验”的度假酒店品牌，其以“爱与美的共鸣”为核心理念，从“泛蜜月”主题出发，遴选极具浪漫色彩的风景之地，打造唯美无二的度假空间，提供温馨细致的个性服务，为天下恋人雕刻甜蜜时光。短短几年时间，诗莉莉足迹已遍布大理、泸沽湖、香格里拉、阳朔、黄山等地，并逐渐向全国其它绝美风景之地延伸，以实现“天下恋人走到哪，蜜月之火燃到哪”的美好愿景。诗莉莉曾获“中国精品酒店十大影响力品牌”、“环球杰出旅游度假酒店品牌”等奖项。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90927367&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A5f289ea4-d729-4437-8e56-8e78b54938b9%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cpos%3A15%7C%2a%7ChId%3A90927367%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A3%7C%2a%7Cpage_size%3A20%7C%2a%7C
